Facility Name,Location Type,Operator,Status,Open,Hours of Operation,Accessibility,Latitude,Longitude
"Yorkville Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Not Accessible,40.773664,-73.956374
Kolbert Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.62035,-73.958
Lincoln Terrace Park / Arthur S. Somers Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.66637,-73.9276
Fort #4 Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.87423,-73.901045
Bayside Marina,Park,NYC Parks Concessionaire,Operational,Seasonal,9:00am-5:00pm,Not Accessible,40.779806,-73.767053
Allen Shandler Rec Area,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.88995,-73.8813
Hallets Cove Playground (area A),Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.77163,-73.9347
Brooklyn Bridge Park Pier 2 - Uplands,Park,Brooklyn Bridge Park,Operational,Year Round,,Fully Accessible,40.700859,-73.996308
Emerald Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.73082,-73.8061
"Pelham Parkway-Van Nest Library, NYPL",Library,NYPL,Closed for Construction,Future,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Partially Accessible,40.854884,-73.864148
Bayside Fields,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.77305,-73.785
"Mott Haven Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.811598,-73.924383
St. Michael's Playground,Park,NYC Parks,Not Operational,,,Not Accessible,40.75831,-73.9003
Noble Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.83683,-73.8719
Corporal Thompson Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.63852,-74.1179
120 Park Avenue POPS,Privately Owned Public Space,Shorenstein Realty Services,Operational,Year Round,Monday to Saturday: 7:30 am-9:30 pm; Sunday: 11:00 am-7:00 pm,Fully Accessible,40.751936,-73.978306
Woods Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.67484,-73.9292
Devoe Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.86369,-73.9049
"Allerton Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm
Wednesday: 10:00 am - 6:00 pm
Thursday: 10:00 am - 6:00 pm
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.866813,-73.863224
Prall Playground,Park,NYC Parks,Not Operational,,,Not Accessible,40.62879,-74.1177
Hattie Carthan Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.68562,-73.9464
Marine Park Zone 6,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.60401,-73.9306
Ferry Terminal,Park,Battery Park City Authority,Operational,Year Round,,,40.71498,-74.01753
"Bushwick Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.704567,-73.93962
Heckscher Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.6951,-73.9186
"South Ozone Park Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,40.674792,-73.809263
Angelo Campanaro Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.8679,-73.8424
Playground One Forty Nine CIL,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.82591,-73.941282
"Ozone Park Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,40.680875,-73.84649
Kissena Park Golf Course,Park,NYC Parks Concessionaire,Operational,Year Round,6:00am-8:00pm Daily,Fully Accessible,40.744678,-73.799234
Damrosch Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.77252,-73.9857
Pratt Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.6926,-73.9622
Clove Lakes Park Zone 1,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.61825,-74.1072
"Muhlenberg Library, NYPL",Library,NYPL,Closed for Construction,Future,,,40.744496,-73.99597
People's Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.80953,-73.917
Jack Breininger Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.72603,-73.7289
Lozada Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.80783,-73.9251
Bath Beach Park,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.6023,-74.0116
The Ramble,Park,NYC Parks,Operational,Year Round,6:00am-1:00am,Fully Accessible,40.77536,-73.9688
Marion Hopkinson Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.68185,-73.9134
John Street Snack Bar,Park,NYC Parks Concessionaire,Operational,Year Round,Temp Closed,Fully Accessible,40.705585,-74.003725
Calvert Vaux Park Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.58813,-73.9903
Carmansville Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.82916,-73.9443
Baisley Pond Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.6814,-73.7872
Crotona Park Lake,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.83813,-73.8934
Rosemary's Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.70462,-73.9044
Washington Square Park Western Half,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,40.73075,-73.9983
Little Island,Park,Hudson River Park,Operational,Year Round,6am - 11pm,Fully Accessible,40.741724,-74.010743
"Hudson River Park Pier 40 - Courtyard Tunnel, Second Floor",Park,Hudson River Park,Operational,Year Round,"6am - 12am, 8am - 11pm",Fully Accessible,40.728807,-74.011616
Frederick B. Judge Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.68312,-73.8079
"Dongan Hills Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm  
Wednesday: 11:00 am - 6:00 pm  
Thursday: 11:00 am - 6:00 pm  
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.5904,-74.101139
Midland Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.56833,-74.0908
Brower Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.67384,-73.9438
Anne Loftus Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.86512,-73.9295
Laurelton Parkway West Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.68501,-73.727
Helen Marshall Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.76551,-73.8714
"Kew Gardens Hills Library, QPL",Library,QPL,Operational,Year Round,"Sunday: 12:00 pm - 5:00 pm 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: Closed",,40.725957,-73.820759
"Epiphany Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 12:00 pm - 7:00 pm 
Tuesday: 10:00 am - 6:00 pm  
Wednesday: 12:00 pm - 7:00 pm   
Thursday: 10:00 am - 6:00 pm    
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.738095,-73.98205
Riverbank Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,40.82562,-73.9539
Monsignor Raul Del Valle Square,Park,NYC Parks,Not Operational,,,,40.8207,-73.8906
Bellaire Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.72172,-73.758
"Borough Park Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	1 pm - 5 pm 
Sunday	12 pm to 5 pm",Partially Accessible,40.638897,-73.989005
Ancient Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.781,-73.9616
South Shore Golf Course,Park,NYC Parks Concessionaire,Operational,Year Round,6:00am-8:00pm Daily,Fully Accessible,40.551065,-74.205152
Fort Washington Park Zone 2A,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.84721,-73.9462
High Rock Park,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,40.582768,-74.122539
Jerome Playground,Park,NYC Parks,Not Operational,,,Fully Accessible,40.65891,-73.8794
805 Third Avenue POPS,Privately Owned Public Space,Cohen Brothers Real Estate Development Corporation,Operational,Year Round,Monday to Friday: 8:00 am-7:00 pm,Fully Accessible,40.755396,-73.970541
Gerard P. Dugan Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.56156,-74.1115
McLaughlin Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.69667,-73.986
Athens Square,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.76801,-73.9219
Irving Square Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.692707,-73.909205
"Morris Park Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.848037,-73.856959
Claremont Zone 3,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.83767,-73.908
Hunters Point South,Park,Private developer,Operational,Year Round,,,40.738411,-73.960924
Havemeyer Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.82998,-73.8479
Cypress Hills Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.67075,-73.8711
"Arverne Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,40.593155,-73.784041
Robert Moses Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.74809,-73.9687
"Clarendon Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.635748,-73.947636
Sheep Meadow,Park,NYC Parks,Operational,Year Round,6:00am-11:00pm,Fully Accessible,40.77305,-73.9744
Brookville Park Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.66219,-73.7422
Moore Homestead Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.74234,-73.8824
Reiff Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.71886,-73.9019
Mahoney Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.64348,-74.0862
Millennium Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.63548,-74.0193
Queensbridge Park,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.7551,-73.9496
Sachkerah Woods Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.88368,-73.8816
"Woodlawn Heights Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.900448,-73.867943
"Bronx Library Center, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 9:00 am - 9:00 pm 
Tuesday: 9:00 am - 9:00 pm
Wednesday: 9:00 am - 9:00 pm
Thursday: 9:00 am - 9:00 pm
Friday: 10:00 am - 8:00 pm 
Saturday: 10:00 am - 8:00 pm",Fully Accessible,40.862989,-73.894504
"Queensbridge Tech Lab Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 12:00 pm - 8:00 pm 
Tuesday: Closed 
Wednesday: 12:00 pm - 8:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: Closed 
Saturday: 10:00 am - 5:00 pm",,40.754953,-73.944111
"Tottenville Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm 
Wednesday: 11:00 am -6:00 pm 
Thursday: 11:00 am - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.509539,-74.244108
Sumner Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.69716,-73.9428
Cunningham Park Zone 3,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.73664,-73.7707
Dr. Green Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.66737,-73.9074
Rev. Dr. Maggie Howard Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.62268,-74.0792
John Golden Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.77409,-73.7677
Captain Rivera Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.81795,-73.9068
St. Catherine's Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.76531,-73.9586
Whitestone Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.79188,-73.8083
"Brighton Beach Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.576116,-73.966776
Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.74916,-73.8038
Spuyten Duyvil Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.88715,-73.9162
Leonardo Ingravallo Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.77597,-73.8172
Coney Island Beach Zone 2b,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.57465,-73.9645
The High Line Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.73949,-74.0082
"Queens Village Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,40.719897,-73.73905
Howard Von Dohlen Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.69965,-73.8131
"Park Slope Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.668243,-73.983457
Farm Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.73606,-73.7773
Clintonville Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,40.78302,-73.8068
Juniper North Playground Tennis,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.72067,-73.8774
Flushing Meadows Ice Rink,Park,NYC Parks Concessionaire,Operational,Year Round,M-F 10:30am-5:15pm S-S 12:00pm-8:00pm,Fully Accessible,40.751909,-73.837891
"Bay Ridge Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.633634,-74.02954
John J Carty Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,40.6145,-74.0294
Marble Hill Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.87769,-73.9079
"Carroll Gardens Library, BPL",Library,BPL,Closed for Construction,Year Round,,Fully Accessible,40.683222,-73.99802
Union Square Park,Park,NYC Parks,Operational,Year Round,12:00pm-11:00pm,Fully Accessible,40.73645,-73.9899
"Richmondtown Library, NYPL",Library,NYPL,Closed for Construction,Future,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm  
Wednesday: 10:00 am - 6:00 pm   
Thursday: 10:00 am - 6:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.566538,-74.138535
Paerdegat Basin Marina 2,Park,NYC Parks Concessionaire,Operational,Year Round,9:00am-5:00pm,Partially Accessible,40.626089,-73.902536
Hollis Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.70672,-73.7531
Fort Totten Park Zone 1,Park,NYC Parks,Not Operational,,,,40.79527,-73.7775
